day,hour,minute,number_of_games
0.0,0.0,0.0,43688
0.0,0.0,1.0,34484
0.0,0.0,2.0,34868
0.0,0.0,3.0,34191
0.0,0.0,4.0,34780
0.0,0.0,5.0,35054
0.0,0.0,6.0,35578
0.0,0.0,7.0,34706
0.0,0.0,8.0,35110
0.0,0.0,9.0,35101
0.0,0.0,10.0,35202
0.0,0.0,11.0,35130
0.0,0.0,12.0,34419
0.0,0.0,13.0,34502
0.0,0.0,14.0,34703
0.0,0.0,15.0,34959
0.0,0.0,16.0,34682
0.0,0.0,17.0,34671
0.0,0.0,18.0,34668
0.0,0.0,19.0,34192
0.0,0.0,20.0,34609
0.0,0.0,21.0,34389
0.0,0.0,22.0,33995
0.0,0.0,23.0,34180
0.0,0.0,24.0,33715
0.0,0.0,25.0,33481
0.0,0.0,26.0,32579
0.0,0.0,27.0,31993
0.0,0.0,28.0,32183
0.0,0.0,29.0,31528
0.0,0.0,30.0,33968
0.0,0.0,31.0,32665
0.0,0.0,32.0,33445
0.0,0.0,33.0,32640
0.0,0.0,34.0,33217
0.0,0.0,35.0,32614
0.0,0.0,36.0,32716
0.0,0.0,37.0,32859
0.0,0.0,38.0,32223
0.0,0.0,39.0,32939
0.0,0.0,40.0,32272
0.0,0.0,41.0,32361
0.0,0.0,42.0,31939
0.0,0.0,43.0,32293
0.0,0.0,44.0,32125
0.0,0.0,45.0,32026
0.0,0.0,46.0,32135
0.0,0.0,47.0,31942
0.0,0.0,48.0,31977
0.0,0.0,49.0,31905
0.0,0.0,50.0,31530
0.0,0.0,51.0,31373
0.0,0.0,52.0,31460
0.0,0.0,53.0,31137
0.0,0.0,54.0,30490
0.0,0.0,55.0,29258
0.0,0.0,56.0,27908
0.0,0.0,57.0,27763
0.0,0.0,58.0,27336
0.0,0.0,59.0,26927
0.0,1.0,0.0,35332
0.0,1.0,1.0,29085
0.0,1.0,2.0,29390
0.0,1.0,3.0,29244
0.0,1.0,4.0,29691
0.0,1.0,5.0,29560
0.0,1.0,6.0,30019
0.0,1.0,7.0,29503
0.0,1.0,8.0,29588
0.0,1.0,9.0,30004
0.0,1.0,10.0,29371
0.0,1.0,11.0,29772
0.0,1.0,12.0,29446
0.0,1.0,13.0,29277
0.0,1.0,14.0,29620
0.0,1.0,15.0,29511
0.0,1.0,16.0,29460
0.0,1.0,17.0,29518
0.0,1.0,18.0,29436
0.0,1.0,19.0,29223
0.0,1.0,20.0,29252
0.0,1.0,21.0,29182
0.0,1.0,22.0,29105
0.0,1.0,23.0,28765
0.0,1.0,24.0,28834
0.0,1.0,25.0,28624
0.0,1.0,26.0,27932
0.0,1.0,27.0,27459
0.0,1.0,28.0,27067
0.0,1.0,29.0,27294
0.0,1.0,30.0,29407
0.0,1.0,31.0,27721
0.0,1.0,32.0,28633
0.0,1.0,33.0,27726
0.0,1.0,34.0,28236
0.0,1.0,35.0,28416
0.0,1.0,36.0,28027
0.0,1.0,37.0,28334
0.0,1.0,38.0,28286
0.0,1.0,39.0,28143
0.0,1.0,40.0,28138
0.0,1.0,41.0,27884
0.0,1.0,42.0,27958
0.0,1.0,43.0,28074
0.0,1.0,44.0,27826
0.0,1.0,45.0,28019
0.0,1.0,46.0,27380
0.0,1.0,47.0,27817
0.0,1.0,48.0,27437
0.0,1.0,49.0,27523
0.0,1.0,50.0,27520
0.0,1.0,51.0,27345
0.0,1.0,52.0,27011
0.0,1.0,53.0,27143
0.0,1.0,54.0,26517
0.0,1.0,55.0,25203
0.0,1.0,56.0,24259
0.0,1.0,57.0,23662
0.0,1.0,58.0,23448
0.0,1.0,59.0,23098
0.0,2.0,0.0,32395
0.0,2.0,1.0,25878
0.0,2.0,2.0,26268
0.0,2.0,3.0,25438
0.0,2.0,4.0,26171
0.0,2.0,5.0,26155
0.0,2.0,6.0,26529
0.0,2.0,7.0,26216
0.0,2.0,8.0,26107
0.0,2.0,9.0,26690
0.0,2.0,10.0,26653
0.0,2.0,11.0,26504
0.0,2.0,12.0,26656
0.0,2.0,13.0,26163
0.0,2.0,14.0,26638
0.0,2.0,15.0,26262
0.0,2.0,16.0,26308
0.0,2.0,17.0,26397
0.0,2.0,18.0,26292
0.0,2.0,19.0,26292
0.0,2.0,20.0,26523
0.0,2.0,21.0,26179
0.0,2.0,22.0,25806
0.0,2.0,23.0,26123
0.0,2.0,24.0,26080
0.0,2.0,25.0,25920
0.0,2.0,26.0,25305
0.0,2.0,27.0,24634
0.0,2.0,28.0,24751
0.0,2.0,29.0,24691
0.0,2.0,30.0,26418
0.0,2.0,31.0,25029
0.0,2.0,32.0,25999
0.0,2.0,33.0,25861
0.0,2.0,34.0,25460
0.0,2.0,35.0,25727
0.0,2.0,36.0,25767
0.0,2.0,37.0,25689
0.0,2.0,38.0,25561
0.0,2.0,39.0,25826
0.0,2.0,40.0,25795
0.0,2.0,41.0,25505
0.0,2.0,42.0,25739
0.0,2.0,43.0,25644
0.0,2.0,44.0,25370
0.0,2.0,45.0,25564
0.0,2.0,46.0,25902
0.0,2.0,47.0,25227
0.0,2.0,48.0,25226
0.0,2.0,49.0,25085
0.0,2.0,50.0,25321
0.0,2.0,51.0,25010
0.0,2.0,52.0,25335
0.0,2.0,53.0,24773
0.0,2.0,54.0,24779
0.0,2.0,55.0,23514
0.0,2.0,56.0,22653
0.0,2.0,57.0,22400
0.0,2.0,58.0,22260
0.0,2.0,59.0,21775
0.0,3.0,0.0,28353
0.0,3.0,1.0,23420
0.0,3.0,2.0,23793
0.0,3.0,3.0,23349
0.0,3.0,4.0,23686
0.0,3.0,5.0,24096
0.0,3.0,6.0,24310
0.0,3.0,7.0,24011
0.0,3.0,8.0,23928
0.0,3.0,9.0,24151
0.0,3.0,10.0,24126
0.0,3.0,11.0,24218
0.0,3.0,12.0,24354
0.0,3.0,13.0,24203
0.0,3.0,14.0,24263
0.0,3.0,15.0,24158
0.0,3.0,16.0,24223
0.0,3.0,17.0,24060
0.0,3.0,18.0,23923
0.0,3.0,19.0,24101
0.0,3.0,20.0,24423
0.0,3.0,21.0,24157
0.0,3.0,22.0,24053
0.0,3.0,23.0,23941
0.0,3.0,24.0,24416
0.0,3.0,25.0,24077
0.0,3.0,26.0,23324
0.0,3.0,27.0,23199
0.0,3.0,28.0,23226
0.0,3.0,29.0,22664
0.0,3.0,30.0,24599
0.0,3.0,31.0,23732
0.0,3.0,32.0,23971
0.0,3.0,33.0,23809
0.0,3.0,34.0,24246
0.0,3.0,35.0,24086
0.0,3.0,36.0,24179
0.0,3.0,37.0,24243
0.0,3.0,38.0,24141
0.0,3.0,39.0,24116
0.0,3.0,40.0,24013
0.0,3.0,41.0,23897
0.0,3.0,42.0,24267
0.0,3.0,43.0,24230
0.0,3.0,44.0,24206
0.0,3.0,45.0,24263
0.0,3.0,46.0,23954
0.0,3.0,47.0,23998
0.0,3.0,48.0,24077
0.0,3.0,49.0,23583
0.0,3.0,50.0,23890
0.0,3.0,51.0,23668
0.0,3.0,52.0,23581
0.0,3.0,53.0,23556
0.0,3.0,54.0,23467
0.0,3.0,55.0,22060
0.0,3.0,56.0,21400
0.0,3.0,57.0,20929
0.0,3.0,58.0,20726
0.0,3.0,59.0,20147
0.0,4.0,0.0,28020
0.0,4.0,1.0,22501
0.0,4.0,2.0,23423
0.0,4.0,3.0,22682
0.0,4.0,4.0,23175
0.0,4.0,5.0,23229
0.0,4.0,6.0,23241
0.0,4.0,7.0,23242
0.0,4.0,8.0,23341
0.0,4.0,9.0,23756
0.0,4.0,10.0,23911
0.0,4.0,11.0,23456
0.0,4.0,12.0,23522
0.0,4.0,13.0,23819
0.0,4.0,14.0,23599
0.0,4.0,15.0,23962
0.0,4.0,16.0,23835
0.0,4.0,17.0,23934
0.0,4.0,18.0,23893
0.0,4.0,19.0,23831
0.0,4.0,20.0,24120
0.0,4.0,21.0,24080
0.0,4.0,22.0,23905
0.0,4.0,23.0,23953
0.0,4.0,24.0,24001
0.0,4.0,25.0,23864
0.0,4.0,26.0,23966
0.0,4.0,27.0,23476
0.0,4.0,28.0,23490
0.0,4.0,29.0,23466
0.0,4.0,30.0,24349
0.0,4.0,31.0,23697
0.0,4.0,32.0,23964
0.0,4.0,33.0,23873
0.0,4.0,34.0,24062
0.0,4.0,35.0,23925
0.0,4.0,36.0,23905
0.0,4.0,37.0,24051
0.0,4.0,38.0,24116
0.0,4.0,39.0,24284
0.0,4.0,40.0,24018
0.0,4.0,41.0,24218
0.0,4.0,42.0,24102
0.0,4.0,43.0,24198
0.0,4.0,44.0,24099
0.0,4.0,45.0,24259
0.0,4.0,46.0,23951
0.0,4.0,47.0,23298
0.0,4.0,48.0,24168
0.0,4.0,49.0,23974
0.0,4.0,50.0,24149
0.0,4.0,51.0,23936
0.0,4.0,52.0,23697
0.0,4.0,53.0,23538
0.0,4.0,54.0,24096
0.0,4.0,55.0,22721
0.0,4.0,56.0,22619
0.0,4.0,57.0,22542
0.0,4.0,58.0,22400
0.0,4.0,59.0,21288
0.0,5.0,0.0,27273
0.0,5.0,1.0,23219
0.0,5.0,2.0,23006
0.0,5.0,3.0,23079
0.0,5.0,4.0,23378
0.0,5.0,5.0,23717
0.0,5.0,6.0,23948
0.0,5.0,7.0,23962
0.0,5.0,8.0,24144
0.0,5.0,9.0,23927
0.0,5.0,10.0,24340
0.0,5.0,11.0,24409
0.0,5.0,12.0,24302
0.0,5.0,13.0,24360
0.0,5.0,14.0,24436
0.0,5.0,15.0,24232
0.0,5.0,16.0,24788
0.0,5.0,17.0,24803
0.0,5.0,18.0,24482
0.0,5.0,19.0,24623
0.0,5.0,20.0,24726
0.0,5.0,21.0,24554
0.0,5.0,22.0,24902
0.0,5.0,23.0,24707
0.0,5.0,24.0,24439
0.0,5.0,25.0,24698
0.0,5.0,26.0,24030
0.0,5.0,27.0,23526
0.0,5.0,28.0,23590
0.0,5.0,29.0,23571
0.0,5.0,30.0,25269
0.0,5.0,31.0,24722
